row ID	row m/z	row retention time	Compound	C1-12H	C2-12H	C3-12H	C4-12H	C1-24H	C2-24H	C3-24H	C4-24H	C1-36H	C2-36H	C3-36H	C4-36H	C1-48H	C2-48H	C3-48H	C4-48H	C1-60H	C2-60H	C3-60H	C4-60H	C1-72H	C2-72H	C3-72H	C4-72H	M1-12H	M2-12H	M3-12H	M4-12H	M1-24H	M2-24H	M3-24H	M4-24H	M1-36H	M2-36H	M3-36H	M4-36H	M1-48H	M2-48H	M3-48H	M4-48H	M1-60H	M2-60H	M3-60H	M4-60H	M1-72H	M2-72H	M3-72H	M4-72H
1774	313.2727992	10.636923	Glycidyl palmitate	69745.66	82421.54	87473.836	69306.44	245255.05	167784.58	173197.4	122648.305	376418.5	414765.78	448047.75	501097.47	406914.3	345839.94	366085.53	179248.38	196529.39	243647.73	118145.9	300132.1	205399.95	158564.8	251598.31	253919.5	67062.62	54793.19	62994.305	57451.59	200304.98	193711.56	240317.72	158594.27	201124.86	230877.23	280961.56	205520.27	179023.94	211712.25	245553.6	161390.48	209330.33	189302.06	237287.61	208280.81	156501.19	177652.39	156947.64	182083.39
1775	331.2833744	10.637176	Monopalmitin	48066.04	54351.152	57619.137	49121.5	187290.9	120483.734	123175.875	85954.58	278532.38	301077.7	308941.94	361575.1	293712.44	251171.61	255913.12	122349.1	143038.27	173037.1	82720.87	214258.45	141995.75	118862.61	168891.92	180862.78	47708.016	36567.754	45756.824	41042.355	146488.95	134437.78	173542.55	115705.67	142407.44	163942.1	201724.6	144023.02	136123.28	150130.6	182446.81	117540.55	147063.05	130411.195	163038.58	154292.84	111902.375	121837.94	107996.695	126454.27
1822	432.286348	10.929883	(2S)-2-[[(2S,3S)-2-[[(2S)-2-amino-3-cyclohexylpropanoyl]amino]-3-methylpentanoyl]amino]-3-phenylpropanoic acid	0	0	0	0	0	0	0	0	0	0	0	0	0	2058.881	4544.362	0	0	0	133347.17	19480.328	2359.094	0	5400.1484	26696.746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3670.7466	0	0	2655.2417
1823	439.3885155	10.930697	N2,N2-Dimethyl-N6-oleoyl-DL-lysine	0	0	0	0	0	0	0	0	0	0	0	0	2012.9791	5558.9243	9683.425	0	2528.6028	0	210420.38	31373.715	5579.2515	0	10413.211	36566.656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5182.627	4693.427	0	9402.244
1827	394.3304873	10.947151	n-linoleoyl leucine	0	0	0	0	0	0	0	0	29463.535	214049.95	72965.22	35566.555	536266.75	790224.06	961051.6	164026.53	396375.53	181715.62	11000000	2623896.8	765371.8	102289.195	1279642.2	3345252.8	0	0	0	0	0	0	0	0	0	4389.8677	7267.645	0	51071.19	18892.3	31936.295	2309.8674	103949.27	143693.12	172440.36	96392.04	393240.9	362736.72	180993.39	532905.94
1850	282.2782226	10.969736	Oleamide	42723	11283.873	17685.062	22146.469	35386.91	20974	20364.441	26168.775	527790	376608	643209.56	449752.8	530440.56	341091.97	718129.2	303962.1	204229.2	1198442.9	371081.75	409064.22	966520.6	240262.88	1123919.2	541624.6	22371.756	32350.738	22095.412	19433.73	48192.113	34028.164	112038.79	36333.24	49777.523	109407.89	175502.52	72332.49	86174.39	218914.56	256504.94	96917.4	245999.45	217646.06	295530.72	350362.75	162382.38	252045.72	244382.48	295733.4
1922	211.1686914	10.973373	Tridecadienoic acid	53616.57	73470.51	75424.99	59925.28	164228.28	129182.07	159919	118496.69	379359.3	480560.47	417198.78	496947.06	644560.5	524039.53	523502.53	376043.88	379027.5	606589.06	416080.1	525169.7	483787.7	237823.61	651338.75	574969.94	61350.63	23925.637	60718.11	53394.33	168218.55	139597.9	178827.39	124419.83	163639.11	189695.47	228079.4	165552.6	201033.78	230112.73	282972.16	167782.17	258209.45	213928.84	267085.06	284980.47	242143.66	267343.3	217774.81	311972
1936	225.1842947	10.974155	13-Tetradecynoic acid	47581.945	62252.51	66145.484	52927.066	144501.94	112322.28	130359.44	104843.984	330491.62	418803.47	365479.94	438571.34	552619.44	463931.34	450339.53	324657.06	323320.38	519397.3	352932	438541.5	432557.16	208167.2	591832.4	521935.62	50736.367	24165.438	53614.64	44143.016	142360.53	122151.305	162071.56	105410.77	147370.73	164245.39	190436.38	140115.86	173001.03	198058.86	243601.25	144141.75	222515.45	195298.97	240024.73	250076.53	211900.95	227866.02	196820.52	260156.92
1937	193.1582161	10.973369	4-(2,2,4-Trimethylcyclohex-3-enyl)but-3-en-2-one	73879.69	101328.64	99940.79	88643.82	218357.56	169457.06	215405.97	154474.92	500669.06	651496.7	575730.75	662025.75	830074.5	712261.7	699556.7	506040.1	517938.44	770934.4	560572.7	702708.75	658174.5	296779.72	877753.6	758016.94	83793.87	38917.715	80886.15	71235.086	225997.73	193164.02	239433.25	183252.38	207144.17	252239.02	297807.66	226084.81	272313.97	317349.25	379471.75	217296.88	343152.66	299256.06	376776.16	380770.4	317984.66	350193.6	282933.12	402651.2
1938	197.1531102	10.9752	Dodecadienoic acid	43908.64	62376.117	65531.895	52047.02	147434.38	114483.234	134051.03	98223.22	326704.22	413439.97	355490.22	424757.22	541761.5	455265.56	453021.38	327968.2	330076.28	499378.25	351922.56	432868.56	421522.5	201460.77	558569.4	500393.56	50373.38	25234.62	50805.4	45486.92	143607.28	122228.516	159106.66	108248.62	137493.95	158809.38	190891.95	139524.19	169005.53	196475.14	239676.7	139780.66	220065.4	187670.45	228795.27	240043.05	206722.28	223133.45	191055.12	264624
1996	357.2988693	11.046358	MG(18:1(9Z)/0:0/0:0)	473568.72	664075.2	591748.5	460598.53	7981707.5	4920460	4206013	3487702	957712.25	971050	1128887	1212482.2	1177895.9	768284.1	791956	315580.44	463275.25	823002.8	193259.8	565970.8	747217.6	1649286.6	809223.75	603112.75	186369.61	34170.098	215986.16	226828.39	3517492.2	3069833	4066215.2	2302831.8	1848337	1940721.4	2724819.8	2333757	971459.25	1232249.1	1861663.5	1391776.8	1395534.5	1069014.6	1329626.6	1383854.9	909781.56	1227005.6	914169.4	1337943.9
1997	247.2413869	11.046257	(5E,9E)-6,10,14-trimethylpentadeca-1,5,9,13-tetraene	24081.527	32913.668	31448.553	21334.887	487544.47	304278.66	254323.8	201524.11	49095.383	53837.348	65378.008	58003.953	53235.203	39772.188	41631.477	13289.021	22574.486	48879.555	10752.014	27696.205	37765.73	84598.195	46991.188	27891.225	7276.785	0	8792.029	9933.682	205145.02	187630.06	257102.5	130388.51	100353.625	110486.14	153881.94	137007.27	50440.08	67794.08	102837.74	77371.21	77667.805	60684.457	75794.94	77837.586	41831.516	69189.69	46012.32	70963.85
2002	385.2587089	11.051752	N-Methyl-N'-[10-(6-oxo-3-phenylpyridazin-1(6H)-yl)decyl]urea	0	2056.1843	0	0	268330.62	150460.16	96285.375	82237.66	0	0	0	1993.4636	0	0	0	0	0	0	0	0	0	15253.035	0	0	0	0	0	0	66085.92	54528.953	87582.125	33988.67	25735.406	26304.906	42324.016	36673.855	3742.0708	7776.302	15166.379	12649.574	5368.2603	3800.338	4695.131	10220.818	1815.201	4707.762	1918.3339	4897.6553
2003	388.2869739	11.060603	N-palmitoyl methionine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1761.863	0	0	0	120598.34	20673.424	0	0	4333.6987	26414.549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	323.2571807	11.095922	15-oxo-11Z,13E-eicosadienoate	10281.132	19122.28	14786.337	8333.727	83462.12	72647.63	71379.78	42438.062	67538.305	111040.54	107859.875	112482.55	111081.04	68280.67	106905.56	46708.766	40357.516	81077.766	104012.34	124180.83	74874.29	35928.13	136335.73	99925.84	0	0	1972.0469	0	56586.523	40081.766	65492.67	37196.023	42713.492	0	57040.355	27504.469	40790.69	34009.266	36873.133	13408.65	37130.293	34199.293	39287.656	26021.508	21829.852	24208.176	21527.715	24500.285
2012	368.3150264	11.155091	Oleoyl methyl beta-alanine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52310.53	12651.329	0	0	0	9382.189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2029	270.2784128	11.367593	Heptadecanamide	0	0	0	0	0	0	0	0	86352.23	54346.27	85717.13	64668.76	83176.23	46381.55	37993.613	44290.168	31505.39	191156.62	64469.973	59832.207	170257.34	37811.25	161608.64	78961.39	0	0	0	0	0	0	0	0	9193.094	11221.756	15367.929	8168.662	17012.955	20334.371	36012.605	27424.236	29739.512	26385.705	32759.727	36773.355	30505.89	34304.434	25649.389	39228.01
2031	356.3150683	11.390215	n-Oleoyl serinol	0	0	0	0	0	0	0	0	0	2002.5786	0	0	10208.675	28667.896	32848.836	3809.0312	7610.0513	5567.629	510964.6	104091.32	14237.156	0	31294.52	123142.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1734.4529	0	11488.013	11211.402	0	12810.79
2042	339.2884996	11.404355	Glycidol oleate	176869.11	239104.4	214014.56	166782	2919062.5	2096744.9	2061548.5	1390342.5	2881331.2	2735888.5	3205591.2	3434947.5	2988841.8	2186586	2221303.2	1012637.56	1451657.4	2414888.8	599134.5	1585069	2193870.5	2876832.5	2136267.5	1637409	72467.9	19160.371	84350.57	86410.07	2341564.2	2103262.2	2636021.5	1713232.6	3340243.8	3734187.2	5057882.5	3644313	2610615.8	3321320.8	4513391	3490281.5	4035049.5	3282017.5	3877612.8	4217979.5	2655663.8	3728945.8	2695038	3851666
2043	283.2624122	11.403896	Oleic acid	9191.434	13723.606	10770.536	9623.343	163563.66	118799.88	116141.94	73866	162460.22	155880.53	185518.14	194239.11	170232.61	125427.375	124382.414	52245.3	79771.74	136329.94	28518.516	91660.43	126596.66	153298.78	117965.95	92013.766	0	0	0	1825.103	129067.73	114728.55	148938.89	94539.43	184196.16	199007.66	278060.9	202403.98	146581.36	180102.77	246971.56	198741.81	217992.14	185179.05	216278.89	236763.62	145337.95	210501.67	147070.05	214816.36
2055	402.3351895	11.404514	N-(4-hydroxyphenethyl)oleamide	0	0	0	0	0	0	0	0	1751.812	0	2048.246	0	19194.86	12508.623	10690.573	0	17796.38	10889.637	42953.406	22298.303	41151.684	0	27617.219	59298.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6532.0938	3347.982	0	13390.119	9395.358	3993.3296	12957.785
2060	307.2623144	11.450745	Icosatrienoic acid	7279.041	13919.615	10404.318	7971.004	61066.6	50421.36	51898.477	32139.887	6446.009	9831.568	6146.1006	8896.179	8805.353	11162.139	7133.075	0	0	4752.578	0	6970.284	6587.0103	10640.266	15069.604	9880.541	0	0	0	0	66592.97	49730.34	49800.75	36818.97	35305.777	40018.582	49742.312	34003.69	23812.379	28429.766	38564.26	20452.316	26029.445	20555.102	28861.363	23694.605	15300.595	20230.82	14337.725	16045.737
2065	386.3256196	11.483753	N-Stearoyl Threonine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150585.77	16217.293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2066	414.302857	11.470403	N-Oleoyl methionine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129513.14	17256.2	0	0	5251.9214	19387.814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1942.5173
2068	269.2468365	11.510618	8Z-heptadecenoic acid	0	0	0	0	8098.2075	6383.6353	5312.513	0	29928.791	38045.023	37148.707	39606.766	55771.7	51937.68	54587.86	25649.639	28983.297	63661.094	32298.562	49896.355	38036.56	17637.459	82658.16	60820.965	0	0	0	0	9956.782	6486.0576	7819.218	4187.8325	7390.2627	12314.664	14506.434	6501.1055	14345.951	12439.953	19232.502	6961.9688	20486.83	17439.17	21848.94	19926.766	15554.223	18486.398	17079.363	23749.543
2078	284.2940895	11.600702	Octadecanamide	0	0	0	0	0	0	0	0	0	10944.344	0	0	5239.0977	26965.4	10837.004	11900.707	11423.684	0	252147.1	28370.871	0	0	69378.64	65789.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2084	328.3201892	11.718194	N-(2-hydroxyethyl)octadecanamide	0	2403.659	5094.424	3801.7344	11533.209	8393.311	12201.952	2075.8926	55129.19	166765.84	92082.125	56333.383	221104.5	332265.53	344182	224150.34	163812.33	276659.88	474302.3	381439.44	192901.03	27726.678	476029.28	347330.8	1860.3213	0	6520.96	4207.4263	3746.5842	1957.009	4433.631	0	20859.344	20125.197	33052.91	12887.024	19346.756	21951.11	32448.723	15109.563	34190.3	26660.611	39134.984	31847.508	28638.682	32214.34	20407.725	36787.28
2087	382.3306928	11.7698	(2R)-3-methyl-2-[[(Z)-octadec-9-enoyl]amino]butanoic acid	0	0	0	0	0	0	0	0	0	4348.302	0	0	15896.478	30068.049	35116.523	7675.0703	10077.121	11807.162	636321.75	131455.61	22901.178	0	49349.406	125268.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12066.649	12633.623	4108.9243	15377.488
2091	342.2994313	11.804956	N-Stearoylglycine	0	0	0	0	0	0	0	0	0	7014.5215	0	0	12997.988	19059.729	20192.672	11510.359	7053.751	17709.951	371030.97	64592.207	12647.796	0	31533.662	41077.586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
