	Metabolite	r_Pearson	p_Pearson	r_Spearman	p_Spearman	p_Pearson_adj	p_Spearman_adj
47	Styrene	0.700547186269464	1.965154412336382e-06	0.6817335711017078	4.696065450251956e-06	0.00016284906479805238	4.870406655977155e-05
37	Isoleucine	0.3474982922975395	0.03783680024896689	0.6820506688942224	4.630050303025747e-06	0.17642807124093932	4.870406655977155e-05
102	2-[[2-[(2-amino-3-methylpentanoyl)amino]-3-hydroxybutanoyl]amino]-3-hydroxypropanoic acid	0.5438163508260314	0.0006079107550247913	0.6796262043159004	5.157092590507169e-06	0.014873549806273227	4.870406655977155e-05
338	(5Z,8Z,11Z,14Z)-icosatetraen-1-ol	0.287800634683097	0.08873926956564324	0.6796931599059954	5.141830992913235e-06	0.26053849544472857	4.870406655977155e-05
356	8,11,14-Eicosatrien-1-ol	0.35772986786418715	0.032186790550662384	0.680623882151563	4.933913702637673e-06	0.1622319255462816	4.870406655977155e-05
317	N-oleoyl phenylalanine	0.3202020703759158	0.05692615421799781	0.6795450916538128	5.1756365009021535e-06	0.2100268826854245	4.870406655977155e-05
239	34,8,12-Trimethyltrideca-3,7,11-trien-2-one	0.3234124562992323	0.054347455600259775	0.6758577967425363	6.085800134272171e-06	0.20562387840510657	5.0687420148499316e-05
99	9-(nonanoylamino)nonanoic Acid	0.19074557560794023	0.2651279712899704	0.6759929683018847	6.050009650843195e-06	0.40269601893610596	5.0687420148499316e-05
146	Sphinganine	0.4934049293638224	0.0022295363111705375	0.6748702837127938	6.35319162624242e-06	0.029222850935699544	5.0687420148499316e-05
315	(E,2S)-2-hexyl-5-hydroxyhexadec-3-enoic acid	0.2595547357825318	0.12633832546234203	0.6779646757356554	5.549321145312522e-06	0.31328490165324	5.0687420148499316e-05
240	15-Hexadecynoic acid	0.3304724717838311	0.04900372525308054	0.6749115958270967	6.341794016043695e-06	0.1975357096532859	5.0687420148499316e-05
136	N-(1-hydroxy-3-phenylpropan-2-yl)-15-pyridin-1-ium-1-N-(1-hydroxy-3-phenylpropan-2-yl)-15-pyridin-1-ium-1-ylpentadecanamide	0.30520531184291644	0.07028534961371018	0.6768807588553353	5.819675981327293e-06	0.22800658163435658	5.0687420148499316e-05
62	3-methyl-2-[(3-methylfuran-2-carbonyl)amino]pentanoic acid	0.2880516429936952	0.08844898039867095	0.6753382503930587	6.225170739750566e-06	0.26053849544472857	5.0687420148499316e-05
193	4-acetamido-N,N-dibutyl-5-chloro-2-methoxybenzamide	0.39601597556844276	0.01680669909789516	0.6729070272285235	6.916882749122908e-06	0.11087108936951688	5.4010552530385255e-05
