row ID	Glycine	row m/z	row retention time	Compound	C1-12H	C2-12H	C3-12H	C4-12H	C1-24H	C2-24H	C3-24H	C4-24H	C1-36H	C2-36H	C3-36H	C4-36H	C1-48H	C2-48H	C3-48H	C4-48H	C1-60H	C2-60H	C3-60H	C4-60H	C1-72H	C2-72H	C3-72H	C4-72H	M1-12H	M2-12H	M3-12H	M4-12H	M1-24H	M2-24H	M3-24H	M4-24H	M1-36H	M2-36H	M3-36H	M4-36H	M1-48H	M2-48H	M3-48H	M4-48H	M1-60H	M2-60H	M3-60H	M4-60H	M1-72H	M2-72H	M3-72H	M4-72H
596	P	271.0592611	4.1547165	Genistein	2255826	3658276.8	3422369.5	3258297.8	3662126.8	2934387	4056586.2	2165306.8	2567025.2	1787668.6	2923204.8	3454374.5	3952962	3644375.2	4554559	2505543.2	2213789	4049711.2	5065709	6577600	4208941	4065984.2	5711647	6442136.5	3474819	1698136.9	4390524	3247964.2	3378620.2	2704205.2	3158943.2	2813379.2	3529352.5	4356566	4935832.5	3081978.8	4667910.5	4886123.5	5200169.5	2907470	5644200	4141631.5	5865088.5	4565623.5	4415615.5	4312406	4183118	4970221
628	P	959.5195042	4.277823	Soyasaponin V	7806.999	21339.23	11811.652	7411.9644	25720.314	8758.182	11669.81	5694.404	8453.566	8067.203	8714.212	9114.761	15423.159	26207.508	23746.592	24618.822	11923.186	16463.133	31843.19	42226.38	18830.342	20839.46	34368.074	38283.273	0	0	14225.482	0	7765.8384	2174.1968	8707.854	0	14568.316	11732.373	19115.953	14342.142	12146.275	14423.693	11935.317	9030.396	16015.551	7741.76	15787.518	13430.465	9371.992	9423.685	9101.842	19216.973
642	P	943.5244327	4.3330874	Soyasaponin I	80684.055	161429.55	126452.805	112791.34	207826.14	123298.805	131528.27	74440.37	118665.56	128080.17	139397.75	158589.69	251443.98	314891.1	360762.66	272803.84	160644.36	272775.75	562683.94	565488.4	277941.56	249732.44	523440.8	546147	46557.184	12272.104	110928.586	50508.72	82095.9	53585.9	92081.19	39593.832	136109.47	143000.66	196240.45	114734.586	164761.75	177822.66	195511.47	117130.49	216614.75	154617.88	197836.45	194556.72	182238.3	180163.47	154360.05	236674.73
670	P	269.0801224	4.40367	Biochanin B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2060.6409	0	5363.8213	0	1895.4109	4092.9644	0	0	0	0	0	0	0	0	0	0	2160.3618	0	0	0	2062.0034	2107.4263	0	0	0	0
680	P	913.514136	4.425457	Soyasaponin II	11879.634	22508.225	19804.316	21093.777	28324.459	21365.559	21397.342	15075.515	25163.89	29977.715	31750.361	32797.676	57022.62	63920.19	79303.85	50228.895	34024.38	75437.16	120023.37	113718.664	67578.91	50436.97	122188.29	109597.34	10825.698	0	19262.17	10668.8	12634.453	9907.326	13499.179	7614.813	25208.373	27268.107	38525.4	19690.81	31158.543	37723.047	47725.914	26803.682	48753.086	34525.688	45078.453	41340.82	42990.168	38705.77	34452.79	43622.777
693	P	797.4667923	4.4563107	Soyasaponin III	12315.943	23745.137	25131.31	21621.258	35112.58	24231.31	23542.498	15093.107	27398.648	31185.764	33305.87	34982	57224.266	65661.61	76444.65	52992.188	35514.035	64605.12	107835.86	113467.74	67097.234	54449.84	117831.016	110933.35	9747.588	0	21587.63	11040.567	16421.215	8462.585	13443.467	9411.66	28483.361	30006.504	43842.406	21871.236	34384.758	39193.938	47961.895	25910.316	47492.73	40858.027	50975.062	44364.645	37942.168	38993.566	33178.348	49898.47
702	P	767.4564054	4.51844	Soyasaponin IV	0	4024.1719	1970.573	1898.639	4586.052	0	2194.1924	0	4904.8013	5427.5186	7666.347	5549.249	14334.146	14737.283	16542.953	11918.182	6179.2827	17284.084	25037.486	25437.39	18132.05	11891.738	26490.691	26570.115	0	0	1855.6836	0	0	0	0	0	4642.684	2671.1895	6544.007	2026.1613	5256.3306	6491.8096	10522.1875	4511.312	12616.443	8283.32	10374.471	9470.477	8581.439	7210.484	5724.664	10344.573
1154	P	281.2468458	7.2614574	 Linoleic acid	0	0	0	0	0	0	0	0	0	6588.3037	5706.5625	0	25511.738	26431.543	0	8816.348	22287.61	22569.592	42302.18	0	26215.771	40662.31	41125.6	42238.01	0	0	0	0	0	0	0	0	4240.771	0	5987.568	0	7025.005	12533.231	16011.578	4836.328	28936.111	17134.963	19624.178	19705.508	21697.787	20771.092	20541.791	17643.635
1189	P	295.2260302	7.530614	13-oxooctadeca-9,11-dienoic acid	0	0	0	0	53120.75	34069.695	43409.234	22817.736	34899.15	42084.19	64635.25	13538.857	89488.445	115089.24	193315.83	138027.66	35171.17	29635.37	1804835	427438.94	44063.645	177417.36	147862.06	126611.89	0	0	0	0	4084.029	1952.5884	0	0	98092.09	74443.31	119157.414	41873.57	78754.51	96662.57	131715.06	59057.664	187291.88	110959.445	184727.4	151598.45	145217.92	146637.53	163289	141914.56
1281	P	324.288851	8.395272	Linoleoyl ethanolamide (Linoleamide MEA)	91924.15	140843.73	152304.69	119671.14	163508.28	140354.19	163698.56	93626.48	498240.2	1680697.5	842700.2	502739.97	2090831.9	3315014.5	3883099	2146763	1915631	2670616.8	5160350	4043304.8	1827504.8	201088.31	3683297.2	3334766.2	110049.55	49804.62	154955.2	141191.28	110071.81	104061.68	121430.49	64245.33	155007.89	173284.27	247045.27	104518.51	176083.7	170163	243398.69	106763.05	289522.62	230578.83	357706.62	287396.72	334324.22	325275.6	212478.83	353027.12
1535	P	279.2309268	9.62651	Alpha-linolenic acid (alpha-LA)	3592325.2	5265493.5	4627277	4027528.8	11100000	9503304	10500000	6838897	17900000	21200000	21900000	21400000	25300000	23100000	25300000	14200000	17100000	20800000	17600000	22300000	17300000	8608327	25000000	24500000	3100759.5	1608485.6	3734120.8	3139053.5	12000000	9362742	11700000	9503546	8845659	9975318	11900000	7889837	9964582	10300000	11400000	6144813	11800000	10400000	12600000	11300000	9194311	9121895	9638709	11400000
1775	P	331.2833744	10.637176	Monopalmitin	48066.04	54351.152	57619.137	49121.5	187290.9	120483.734	123175.875	85954.58	278532.38	301077.7	308941.94	361575.1	293712.44	251171.61	255913.12	122349.1	143038.27	173037.1	82720.87	214258.45	141995.75	118862.61	168891.92	180862.78	47708.016	36567.754	45756.824	41042.355	146488.95	134437.78	173542.55	115705.67	142407.44	163942.1	201724.6	144023.02	136123.28	150130.6	182446.81	117540.55	147063.05	130411.195	163038.58	154292.84	111902.375	121837.94	107996.695	126454.27
1850	P	282.2782226	10.969736	Oleamide	42723	11283.873	17685.062	22146.469	35386.91	20974	20364.441	26168.775	527790	376608	643209.56	449752.8	530440.56	341091.97	718129.2	303962.1	204229.2	1198442.9	371081.75	409064.22	966520.6	240262.88	1123919.2	541624.6	22371.756	32350.738	22095.412	19433.73	48192.113	34028.164	112038.79	36333.24	49777.523	109407.89	175502.52	72332.49	86174.39	218914.56	256504.94	96917.4	245999.45	217646.06	295530.72	350362.75	162382.38	252045.72	244382.48	295733.4
2043	P	283.2624122	11.403896	Oleic acid	9191.434	13723.606	10770.536	9623.343	163563.66	118799.88	116141.94	73866	162460.22	155880.53	185518.14	194239.11	170232.61	125427.375	124382.414	52245.3	79771.74	136329.94	28518.516	91660.43	126596.66	153298.78	117965.95	92013.766	0	0	0	1825.103	129067.73	114728.55	148938.89	94539.43	184196.16	199007.66	278060.9	202403.98	146581.36	180102.77	246971.56	198741.81	217992.14	185179.05	216278.89	236763.62	145337.95	210501.67	147070.05	214816.36
2273	P	359.3147384	12.856897	1-Stearoyl-rac-glycerol	43563.348	41045.355	41891.367	35158.56	91850.36	60691.914	65239.617	48634.535	109119.63	132567.8	136568.9	156458.48	128411.14	125691.36	119364.38	73853.055	71189.055	91242.336	55818.2	113309.56	64278.76	71054.99	92020.45	98509.805	38409.96	35831.56	34753.082	30623.95	63079.83	73490.945	84326.04	62322.844	73995.86	85023.07	94225.66	71627.15	75370.02	74406.15	82861.8	59290.08	71421.695	76430.305	86871.27	77905.914	67550.94	68510.7	54994.44	65805.086
2355	P	257.2469284	14.091371	Palmitic acid	11158.45	22782.043	18752.562	10407.196	159442.38	116248.16	107330.42	69026.445	22503.828	60484.152	25890.518	28972.355	43480.516	47605.23	46506.715	30515.18	23480.049	41942.88	39503.527	49552.434	24671.87	48531.438	61852.324	39982.082	0	0	0	0	118372.45	85171.875	104055.58	80094.34	88583.3	95769.95	126411.97	91911.625	64610.57	67723.44	95328.625	57894.46	70356.74	55590.535	73089.22	58292.05	42959.324	57548.61	46342.086	52378.652
2606	P	285.2781068	15.883362	Stearic acid	368188.44	539486.56	471233.25	352510.94	2383558	1819965.5	1841484.4	1390037	616722.44	1428993.4	760155	805665.06	1121179.1	1272139	1185743.1	917075.1	742687.7	1061766.5	1026237.1	1260726.6	810577.9	1176304.1	1384436.1	1069808.8	67479.86	33781.234	101081.87	75498.42	1861379.8	1498057.9	1693027.4	1424814.2	1694471.8	1688454.6	2212702	1682723.2	1222631.1	1403638	1830133	1441600.4	1503210.9	1344952	1505307.1	1435184.1	1077664.1	1342161.6	1177948.5	1290017.2
